input_angle_sag,w0_waist,waist_frac,family,sku,roc,N,chord_skip,R_ring,n_target,mode_s,input_offset_z,input_angle,size_class,envelope_max,opl_min,feasible,reason,opl_m,n_exit,throughput,exit_miss_mm,hole_margin_mm,ap_margin_mm,sep_margin_mm,min_sep_mm,w_max_mm,w_hole_mm,H_req_mm,stab_tan,stab_sag,aoi_deg,early_exit,polished,envelope_mm,source,lambda_nm,M2,margin_want,_rr,tier,overlap_amp,worst_dw,v_min_ml,v_full_ml,pvr_min
0.0315461542857741,0.2879092451998916,1.0826956284601166,one_inch,CM254-250-M01,500.0,12,5,53.48522698111387,132,sin,-0.0696913318922436,0.0337269472066653,D150,150.0,12.0,True,,13.638971089244045,132,0.877160280167946,6.981173268484791e-07,0.6589657998169014,3.3943752463135723,0.9455937039910056,1.5465664661075147,0.3083299484536571,0.3055389578269657,16.82211041125334,0.7859925281142128,0.8005154946517344,15.031581264581492,0.0,True,142.97045396222774,results_v9deep,1654.0,1.0,0.55,53.5,flight,1.7699762398351562e-06,5.146877075296404,126.35733990924982,275.0039840397156,107.9396820084974
0.0475220914718348,0.2429104533335171,0.0,one_inch,CM254-150-M01,300.0,13,5,62.085655326534926,143,sin,-0.1121544984328283,-0.0332622261961141,D170,170.0,16.0,True,,16.602614648121914,143,0.867559615765392,4.888698920028323e-06,2.562176001320396,2.900551628601276,0.3930020418689959,1.0620046988955505,0.3962872957301186,0.2429104533335171,20.140334799290216,0.5859889966310334,0.6384062651596777,20.85322843791033,0.0,True,160.17131065306984,results_long,1654.0,1.1,,62.1,flight,0.008011029459586927,3.107101522703401,214.6339269426942,370.5559902404328,77.35317004452284
0.0294187400756526,0.2805656516129226,1.0037488965931374,one_inch,CM254-150-M01,300.0,16,7,72.15525163899,144,sin,-0.0447766209857017,0.0301723925102091,D190,190.0,19.5,True,,20.381418104634665,144,0.866692056850082,3.009536616726677e-07,1.9387841086625184,3.871187389688562,0.3982578553378606,1.0367063200115263,0.3409049157580132,0.3106203288070839,16.424072511881647,0.5185786754396766,0.5376329189154649,11.309694393517304,0.0,True,180.31050327798,results_long,1654.0,1.1,,72.2,standard-lab,0.005128716926935865,3.2475802742868556,225.4572091591894,500.5035824870445,90.4003832063932
0.0453164993036312,0.312859072422155,1.2101987649414034,one_inch,CM254-200-M01,400.0,16,7,71.76080460387067,176,sin,-0.0917281316969399,-0.0348585920084372,D180,180.0,18.0,True,,24.774442099920847,176,0.8393835224916577,1.2354824367313658e-07,4.593472431958302,0.7027676466705515,0.5925242974717496,1.239573098783478,0.3599376373612463,0.3441307379867429,23.082206594641224,0.6410784136900177,0.6550504508873309,11.388352661118688,0.0,True,179.52160920774134,results_robust,1654.0,1.1,0.55,71.8,flight,0.0006538843190523156,3.831467105017689,332.2065331284089,495.04639035087706,74.57542109909289
0.0330898112592165,0.2942108789427811,1.1081775642703864,one_inch,CM254-200-M01,400.0,16,7,69.01358754039495,176,sin,-0.0344698376554666,0.0479008417443363,D190,190.0,19.5,True,,23.826005275797712,176,0.839383522469778,1.2446713208881749e-06,2.331855085365139,0.5624969335858587,0.844466979783705,1.5715982368851382,0.3821166864434248,0.3408962180168846,18.36212822613593,0.6552898015368785,0.6678229541748404,11.307632886002354,0.0,True,174.0271750807899,results_h2,2121.8,1.0,0.55,69.0,flight@H2,8.888359782857814e-05,4.322736016465604,237.5170385697517,457.8682266589679,100.31282563672046
0.0060698662311667,0.2447833706045881,1.04346715894206,one_inch,CM254-150-M01,300.0,10,3,48.31440344510818,190,cos,3.434904426436362,0.0505674114841662,D140,140.0,10.0,True,,14.85313827497906,190,0.8277082323637714,8.42359005181579e-07,1.7287098173797686,2.1433183108994847,0.3813010251430486,0.9325745203383312,0.2975998415334648,0.2600275756813347,18.84233534778139,0.6785969844776647,0.788799118678612,36.02741771049161,0.0,True,132.62880689021637,results_long,1654.0,1.1,,48.3,flight,0.003273595406796228,3.383335270350414,117.33969333308907,224.40087303669748,126.58238532135796
0.0360894245523899,0.2913338283507369,1.5,one_inch,CM254-500-M01,1000.0,12,5,52.42963408471186,204,sin,0.5145969849714438,0.0233413261475337,D180,180.0,18.0,True,,20.66237996156646,204,0.8161953380784123,1.586551530882281e-06,2.514740870055289,0.3658909359922351,0.5816186957628604,1.46632970917039,0.4564059361786017,0.3220576626343408,25.30625734252461,0.8950987945050952,0.9021720192722472,15.07488725387368,0.0,True,140.85926816942373,results_long,1654.0,1.1,,52.4,flight,0.004115307437630582,3.3148197233810466,199.74940777186012,264.2560582528989,103.44150799768876
0.022558337714157,0.436677279947304,1.055739592597584,one_inch,CM254-750-M01,1500.0,12,5,73.57024448483779,204,sin,0.0096734132577205,0.0228575952176199,D190,190.0,19.5,True,,28.99385350390421,204,0.765663137627776,0.0797181890210416,1.3497193142176052,0.3095407286501803,0.3500198383226551,1.238367904197224,0.4493401391252915,0.4459472778895472,21.659544007286662,0.9018834084834368,0.9085198471150052,15.024998916441753,0.0,True,183.1404889696756,results_long,1654.0,1.1,,73.6,flight,0.020516926565673447,2.7880240904856004,330.81294072926687,520.3262038655888,87.64425430271307
0.0434866091558856,0.2,0.7392882097377338,one_inch,CM254-100-M01,200.0,14,5,66.55262035132392,322,sin,-0.5272600350919938,-0.0530692145944515,D180,180.0,15.0,True,,38.61541466677718,322,0.7107222163959044,0.0233358891020278,2.1269575518729984,1.8822588625290155,0.8000148382428326,1.3713100234308502,0.360456414198912,0.2315539427517267,17.731478817753086,0.3331661881941893,0.4606116457627582,25.76625729266781,0.0,True,169.10524070264785,results_hardened,1654.0,1.0,0.8,66.6,active/nominal,0.00011230829806398655,4.2653974837563915,210.16085577109055,425.7960400134816,183.74218417171605
0.0381871670778954,0.227785970335604,1.150969589950733,one_inch,CM254-100-M01,200.0,14,5,66.5426595682176,322,sin,0.1700224985593834,0.0488787560605441,D180,180.0,18.0,True,,38.60963422065314,322,0.7253067522334576,3.1509458876385e-07,1.796493803360543,3.272214089640217,0.5867189036019098,1.200427773656152,0.3783375794746816,0.2780708366817823,15.50472991938936,0.3357321493970437,0.4590901694018452,25.735665998133094,0.0,True,169.0853191364352,results_robust,1654.0,1.1,0.55,66.5,active/nominal,0.0006498322521546883,3.8324347442849227,180.75358894409192,425.6685936533059,213.60369354876443
0.0585648493975365,0.2049028552407623,0.6869950115714769,one_inch,CM254-050-M01,100.0,14,5,76.87293740172856,238,sin,-0.346775072880315,-0.0272083290940116,D190,190.0,19.5,True,,32.96782394684937,238,0.7888977318635683,1.1795783155473357e-05,1.6426215734991216,2.275712361713792,0.3860552281623488,1.2252199990625663,0.5048441672204785,0.2386042843912998,22.903363662102624,-0.5379590980470887,-0.2477587582099933,25.77524380482796,0.0,True,189.74587480345716,results_long,1654.0,1.1,,76.9,active/nominal,0.014958878761309595,2.920093982849107,388.4258361217527,568.0914482861976,84.87546625635777
0.0516980752372433,0.2937567932186455,1.5,one_inch,CM254-200-M01,400.0,12,5,69.91986206295505,204,sin,0.0439055236312206,-0.0316416573409753,D180,180.0,18.0,True,,27.55520878757105,204,0.2146370986322334,0.2822188465648574,2.5448927447414187,0.3003286817058104,0.35002562170967,1.0071537638975694,0.3671788035428814,0.3453390825271926,25.149635106280407,0.6501409309095081,0.6739958617512998,15.141787722527226,0.0,True,175.8397241259101,results_long,1654.0,1.1,,69.9,active/nominal,0.009285665682662654,3.061414525247545,347.3720117330496,469.97247678083374,79.3247810901554
0.0709353527350975,0.2,1.086239619677099,one_inch,CM254-075-M01,150.0,12,5,60.65850677577826,228,sin,-0.0182772012089414,0.0517948428668427,D160,160.0,14.0,True,,26.71776568343664,228,0.7968302765511117,1.0200500982519368e-06,3.453735936119908,1.0810604839250324,0.5638445349630354,1.1083921453921506,0.3209997184112567,0.2609011813938118,22.75990386412877,0.1906604027032067,0.2459003472091979,15.212476969960257,0.0,True,157.31701355155653,results_v9deep,1654.0,1.0,0.55,60.7,active/nominal,0.0002794425579663492,4.046789133377059,231.66285644422805,353.71601977063534,115.33038180364852
0.036395194203816,0.2946172229595425,0.9891364138312142,one_inch,CM254-200-M01,400.0,16,7,74.5074746695783,176,sin,0.3384151140907588,-0.0373185854394649,D190,190.0,16.0,True,,25.72268036663216,176,0.8393835223955773,2.4447855321477496e-06,0.8628547819793155,1.1300207783414855,1.100808752482898,1.7410115834597193,0.3408505003093695,0.3216890973961313,20.88209510551492,0.6272766951039337,0.64175742757468,11.361072521303583,0.0,True,185.0149493391566,results_hardened,1654.0,1.0,0.8,74.5,active/nominal,3.929979837462356e-07,5.438937471748044,318.04772583551255,533.6677844182166,80.87679388072524
0.0878425577313442,0.2,1.2144910971809066,one_inch,CM254-050-M01,100.0,10,3,60.82804220896914,230,sin,-0.1408044597912572,0.0646941732703761,D160,160.0,14.0,True,,22.63696559341591,230,0.1107964987900766,0.2526104529787605,0.4648421240673697,0.7166524419499627,0.2630466960324373,0.808750787248626,0.8070414194976497,0.2544655555860073,20.86426256427744,-0.2158700085536085,0.2027595348701886,36.05289744423397,0.0,True,157.65608441793827,results_long,1654.0,1.1,,60.8,active/nominal,0.05507505568096013,2.4202747068259804,230.5301336089861,355.6959959933383,98.19525646834362
0.0644558419848167,0.2,0.7336371885307076,one_inch,CM254-050-M01,100.0,12,5,51.3842663050298,228,sin,0.1902039567642254,0.0664352937963364,D160,160.0,14.0,True,,22.632801654704128,228,0.7968302735484668,9.665812177607631e-06,1.9526512627014936,2.0211345580972147,0.3508485689417981,0.9731614985408064,0.445113541038022,0.2217837183941066,19.262537272775965,-0.02819064594867,0.0413364601406496,15.172275618740034,0.0,True,138.7685326100596,results_long,1654.0,1.1,,51.4,active/nominal,0.011669991461630495,3.0728179541624194,139.83552806233712,253.82337750816814,161.8530138107297
0.0609135526153492,0.2,1.0,one_inch,CM254-075-M01,150.0,11,5,59.38,187,sin,0.0,0.0611229481092675,D190,190.0,16.0,True,,21.982058614350944,187,0.4130754734840832,0.1493844656945602,2.2331466796576325,0.9978130522810762,0.3101228254396035,0.8651653329886512,0.3306171427057814,0.2528615536076783,20.65685241346917,0.2077278528991887,0.22482927587531,8.505697086767883,0.0,False,154.76,results_hardened,1654.0,1.0,0.8,59.4,active/nominal,0.007860585566378352,3.1174741437693045,199.15116871387656,338.9625246439938,110.37875778641748
0.0,0.2433798506025077,1.0,one_inch,CM254-150-M01,300.0,12,5,52.46000000000039,204,cos,7.234454956402908,-0.0386740562024766,D180,180.0,18.0,True,,20.674327109721467,204,0.1273128987467236,0.2572758735980804,0.6009780913533433,0.0244096119301406,0.0087249802372216,0.5565196455887255,0.3098525665291163,0.2669257777030872,26.178068252921427,0.6497414445663638,0.6741081422606545,15.277279119422412,0.0,False,140.92000000000078,results_long,1654.0,1.1,,52.5,active/nominal,0.12691778556311925,2.0318549295532184,202.459665675335,264.56224771912105,102.11578212756159
0.0019544925151466,0.2,1.0522884993622594,one_inch,CM254-050-M01,100.0,10,3,54.76625919371477,230,cos,6.483233137417356,-0.0827007139454182,D150,150.0,12.0,True,,20.381153483009815,230,0.757755199133373,0.0364587286731002,1.173408672352802,0.3075741959373843,0.3518385387882596,0.8717318469899743,0.9832646910611892,0.2346558707973536,21.44988794084769,-0.0944239713460866,0.2826619081802226,36.09037862936095,0.0,True,145.53251838742955,results_long,1654.0,1.1,,54.8,active/nominal,0.04026886859616508,2.534659744548382,197.56078404120154,288.33506043492787,103.16396334385523
0.050798478733257,0.2,1.3885618802118662,half_inch,CM127-050-M01,100.0,14,5,33.28264350709463,322,sin,-0.146094131828139,-0.058585938196917,D130,130.0,7.0,True,,19.311383322031787,322,0.6473392561741013,0.0543841791703207,0.680813324657163,0.3086912526779395,0.3958375187266414,0.8134935546301255,0.3563167042428465,0.2280663451588117,13.345862201182982,0.3327648646247017,0.4607094316556731,25.78612832956029,0.0,True,92.56528701418928,results_halfinch,1654.0,1.0,0.4,33.3,active/nominal,0.0010655529794635296,3.703076420681544,37.25647526857564,62.29289721600222,518.3362941024153
0.0016315028151713,0.2,0.8103722274556149,half_inch,CM127-050-M01,100.0,12,5,51.73847348334398,180,cos,4.761607721245055,-0.0487756434017078,D130,130.0,7.0,True,,17.991183440909488,180,0.8360304226719482,0.000135614448355,0.5289332998342318,0.3022684864161533,1.2787524916271042,1.9182172249160756,0.3520074073661526,0.2266399629410895,16.216099308336673,-0.0352036525956509,0.0352373581751407,15.128309922529215,0.0,True,129.47694696668796,results_halfinch,1654.0,1.0,0.4,51.7,active/nominal,5.641042276009935e-08,5.777997852286807,113.64149785553418,150.53244843126,158.31526141780208
0.0849841620017757,0.2,1.5,one_inch,CM254-100-M01,200.0,9,4,39.89406975452725,207,sin,-0.0273273012023612,-0.0707345299664332,D140,140.0,10.0,True,,16.265223369242086,207,0.6897687016669682,0.0727665203064538,2.6679620492926626,0.4315001499807227,0.3863754730508374,0.8343436874885749,0.2831113986573215,0.2531136611989581,23.2048732454489,0.6004722054146637,0.61361448374369,10.570192606870911,0.0,True,115.78813950905447,results_long,1654.0,1.1,,39.9,active/nominal,0.000972547354900351,3.725012894210352,101.67863036079525,152.99878590701476,159.96697940881737
0.0510435836414814,0.2,0.0,half_inch,CM127-025-M01,50.0,16,7,38.43883393698268,144,sin,0.6698203719354225,-0.0381106579964695,D130,130.0,7.0,True,,10.85763719283934,144,0.8666916100567349,0.0001015399127479,1.5007508446995883,0.3886753580047308,0.5284683753313335,1.408479767804123,0.5341177459253627,0.2,15.23556246881564,-0.5382450062754929,-0.4784467763304405,11.4074351041422,0.0,True,102.87766787396536,results_halfinch,1654.0,1.0,0.4,38.4,active/nominal,0.0066480804383975385,3.200357345397483,62.057545521353646,83.08895806369738,174.96079004773543
0.0140441238142124,0.2,0.8139964198728886,half_inch,CM127-025-M01,50.0,14,5,46.77924837877976,98,sin,0.0703434021146535,-0.0241349492211093,D130,130.0,7.0,True,,8.260745041292614,98,0.620465490251096,0.0956836395949748,0.4319561230647721,0.3000968889968485,0.435804607793633,1.0613699026071295,0.8424078172213163,0.2194449718593284,10.211033300644404,-0.870849581900484,-0.5198682988527776,25.729684719194225,0.0,True,119.55849675755952,results_halfinch,1654.0,1.0,0.4,46.8,active/nominal,0.03707571880764363,2.5715581309887012,65.8644726948777,123.05786691588646,125.42034731775897
0.0584920980651194,0.2,1.1285170813799643,half_inch,CM127-050-M01,100.0,16,7,36.17841058820057,112,sin,0.0681492173337145,0.0373436163090524,D120,120.0,6.0,True,,7.948243547051605,112,0.8948890480688189,2.500887279067568e-07,0.5887419868541808,0.5041897279605214,0.8208618109067141,1.2469466035511576,0.2653932682441896,0.2260786225058407,14.951157395116464,0.2759228991142139,0.3046456842618072,11.454514274755011,0.0,True,98.35682117640114,results_halfinch,1654.0,1.0,0.4,36.2,active/nominal,7.15753132192264e-08,5.853015325672939,48.413868422874025,73.60407686362286,164.17286628755141
0.0220930208089388,0.2,0.9322189723263156,half_inch,CM127-025-M01,50.0,16,7,41.24438033925734,80,sin,0.051829142295005,-0.0286065051552404,D120,120.0,6.0,True,,6.472275647985911,80,0.0928897598265216,0.2393014189794373,0.9745190297673624,1.5504815528006466,0.3999998247412932,1.114155689857267,0.4957118190157004,0.2232807046799876,11.374792594993568,-0.6500631136888959,-0.5869915670375687,11.300021768136473,0.0,True,108.48876067851468,results_halfinch,1654.0,1.0,0.4,41.2,active/nominal,0.012396719899460082,2.966277307739802,49.98640624559978,95.66046108825309,129.4807155406507
0.0478948592171125,0.2,1.0,half_inch,CM127-050-M01,100.0,13,4,40.58,91,sin,0.0,0.0526962538127119,D120,120.0,6.0,True,,6.078189475783543,91,0.0168652675866716,0.3086709055653121,1.273896113986631,0.4736785186437302,0.0325634785071618,0.4942573817310705,0.3033499475195371,0.2184694614256822,12.275513385942917,0.189302751633462,0.4493305151608757,34.6374596790167,0.0,False,107.16,results_halfinch,1654.0,1.0,0.4,40.6,active/nominal,0.10201098325643707,2.1366971574823643,48.9588038432689,92.60341208183635,124.14905999831127
