N,s,roc_a,roc_b,k,n_exit,r_ring,ang_t,ang_s,off_z,w0,waist_frac,exit_miss,envelope_mm,throughput,sku_a,sku_b,opl_m,sep,clear,ap_margin,w_max,feasible
8,3,300.0,400.0,31,248,67.74646797225748,0.0294988710981225,0.03332488995994019,0.0002572188333512338,0.26224146617542243,0.6387964194294229,6.432501086880024e-07,181.49293594451495,0.7810441642583162,CM508-150-M01,CM508-200-M01,31.019186241397826,-0.5443734644172156,0.6570749352057337,14.741824871868632,0.3332559455151615,False
8,3,300.0,400.0,25,200,70.09805158935495,0.03524263354003512,0.027369331825900872,0.001447977884214061,0.2003994080217073,0.6278457778657995,0.5002921602949413,186.1961031787099,0.819468297776412,CM508-150-M01,CM508-200-M01,25.882339407212537,-0.8067089396295936,-1.4248171889677053,14.595012131593721,0.43300990355704766,False
8,3,300.0,400.0,21,168,68.94559944176504,0.07504039087356315,0.004060882088615214,0.0014043845357316152,0.28491259371662414,0.1061246614621707,0.5002127574182426,183.89119888353008,0.8461289094829856,CM508-150-M01,CM508-200-M01,21.382003691130738,-0.5980990307924455,0.28422536896378525,7.771762196612345,0.45587242581859316,False
8,3,300.0,400.0,31,248,67.73096863179634,0.04687101856119276,0.04530462401737141,0.00014019056079793982,0.44998986550284115,0.5050871779190136,0.5000000237191705,181.4619372635927,0.7810441642583162,CM508-150-M01,CM508-200-M01,31.011083719423205,-0.8476392358654665,1.3707841093170237,10.985010095933639,0.5883739829391322,False
8,3,400.0,500.0,31,248,69.16701312153745,0.007033444832634347,0.09100957394841648,-0.005537277135751541,0.37266657635830847,1.251788851059819,0.5000000011100537,184.3340262430749,0.7810441642583162,CM508-200-M01,CM508-250-M01,31.671352146657977,-0.573136391067654,0.5909513066743981,6.079331706892983,0.4628220139748987,False
8,3,400.0,500.0,29,232,71.23755394528351,0.07877071960634063,0.02272342285029611,0.001622353826580387,0.4268801158490496,0.652457050197849,1.9016993818644898e-06,188.47510789056702,0.7936477332643055,CM508-200-M01,CM508-250-M01,30.508494759262437,-0.4243314622948963,1.8980729146518285,5.718141445952181,0.5963183966827312,False
8,3,400.0,500.0,25,200,69.66144404498095,0.10038497204539923,0.0033607891252482175,0.0028289531741305723,0.536522464703784,0.9738710477952409,0.5004044973654376,185.3228880899619,0.819468297776412,CM508-200-M01,CM508-250-M01,25.72413583468051,-0.9881300160903106,0.45353546130646705,1.689991160002677,0.8080551279969481,False
8,3,400.0,500.0,23,184,70.16972958995888,0.08578802172009245,0.01724019143973509,0.0016463677150663427,0.24822912832961047,0.7985048412979313,0.5000003462606254,186.33945917991775,0.832691910104472,CM508-200-M01,CM508-250-M01,23.836622236796163,-0.7017355877383191,0.7071024826223757,4.731924745312796,0.38585679660728783,False
8,3,1000.0,1500.0,33,264,66.90223299388427,0.004702422574571602,0.03543420223058576,-0.001306623116438615,0.5530202573186527,0.49931883054881343,0.5000967931516083,179.80446598776854,0.7686407469632572,CM508-500-M01,CM508-750-M01,32.612219513316035,-0.9928104566315326,-0.394752944270627,12.654044254604646,0.5778636019425516,False
8,3,1000.0,1500.0,31,248,71.57476610523298,0.024467325344561086,0.01944567635593883,0.00010172381315748418,0.37238183414016257,0.7638023418979892,0.5000000004795242,189.14953221046596,0.7810441642583162,CM508-500-M01,CM508-750-M01,32.77248380525048,-0.6833297806975654,0.6570715596506085,13.13158284405199,0.41877615849896266,False
8,3,1000.0,1500.0,21,168,69.41446383557788,0.03282484204845678,0.04152004571483455,0.00038471228201178827,0.483867005669425,0.6577255580827861,0.5000000008103663,184.82892767115575,0.8461289094829856,CM508-500-M01,CM508-750-M01,21.525205196512065,-0.8781951191985549,3.8411264488997006,7.540547188571615,0.5109270842689401,False
8,3,1000.0,1500.0,19,152,71.99893659494631,0.06769403771346623,-0.0007657458405733722,0.0013244654728419483,0.5297171495752031,0.536216121162679,0.5000000200917103,189.99787318989263,0.8597827393003533,CM508-500-M01,CM508-750-M01,20.200065655336985,-0.7675190586985667,1.4312216810139176,1.3731191668339164,0.5720787031881917,False
8,3,500.0,1000.0,31,248,68.59281455388101,0.08870016923999699,0.002613314242349627,-0.003494034378746183,0.30809468976843624,0.6602074988473834,0.5000001179065451,183.18562910776203,0.7810441642583162,CM508-250-M01,CM508-500-M01,31.41266235668075,-0.6221920985043857,0.5043027761610452,0.663766213324827,0.41579823587945947,False
8,3,500.0,1000.0,29,232,69.61079734091733,0.0662920529615718,0.020412639765612337,-0.0093948348467927,0.6083867322011577,0.7759427588297763,0.5000000008955531,185.22159468183466,0.7936477332643055,CM508-250-M01,CM508-500-M01,29.812569320948285,-1.0219954587305047,0.6450457100916509,5.537638070341195,0.7483933451750048,False
8,3,500.0,1000.0,23,184,66.88153100293559,0.02476615084887913,0.03042270319747794,3.1074882032342923e-05,0.5297864897960057,0.8965752948735793,0.5000000003334762,179.76306200587118,0.832691910104472,CM508-250-M01,CM508-500-M01,22.71669449598492,-0.3522138796617592,1.1560505362292977,13.991927091093077,0.5942714657484814,False
8,3,500.0,1000.0,21,168,71.57466050524897,0.04682175852564509,0.007137797925995318,-0.0002721874402900529,0.3027157617883578,0.47578256874789604,0.5024730194377935,189.14932101049794,0.8461289094829856,CM508-250-M01,CM508-500-M01,22.19600964416073,-0.7418644045007757,-1.4413851319599458,10.83180090661952,0.39262800925329877,False
8,3,200.0,300.0,33,264,71.70061433443914,0.004481588295339534,0.04866666800564022,0.0015099801875729435,0.2000812509355802,0.5797138982217354,0.500001740711008,189.40122866887828,0.7686407469632572,CM508-100-M01,CM508-150-M01,34.950953155282015,-0.7454880154799429,-1.3551030795152452,14.208532930021285,0.3911080997066709,False
8,3,200.0,300.0,31,248,68.20072457177133,0.0688464036315036,0.026192246705122883,-0.00015955332244700087,0.38826373739599407,0.6812245563598669,0.5000000008248647,182.40144914354266,0.7810441642583162,CM508-100-M01,CM508-150-M01,31.23211925559234,-1.0095239836724208,0.8737472323280051,9.202958159534731,0.8476258729369216,False
8,3,200.0,300.0,27,216,70.60234625143414,0.10580464695157465,-0.003898715083902761,0.0019411093612135381,0.4847832658139336,0.37953942188431156,0.5000000366773145,187.20469250286828,0.8064546837933352,CM508-100-M01,CM508-150-M01,28.15890475515548,-1.8381195131147967,0.6572875434703387,1.933835505660614,1.5489735478335398,False
8,3,200.0,300.0,23,184,70.22829780311362,0.02321503525573748,0.0363140560213274,0.0031537214625023827,0.2110318795589098,0.7426506797364031,0.5000000000101288,186.45659560622724,0.832691910104472,CM508-100-M01,CM508-150-M01,23.853505424467734,-0.05712186081329973,0.817650013559976,15.150425132462777,0.37279429798095454,False
8,3,1500.0,2000.0,27,216,69.96521673551203,0.03986091829791466,0.0014677360746440846,-0.0006962405134027035,0.2978444344283462,1.028012868276492,0.5000075459890158,185.93043347102406,0.8064546837933352,CM508-750-M01,CM508-1000-M01,27.902052833997786,-1.1698455080158499,-0.034288725106741635,8.055457916059819,0.6158242132313649,False
8,3,1500.0,2000.0,25,200,70.4512569318446,0.026935948285603327,0.05528416505803978,-4.288917368898701e-05,0.5418716454827255,0.43754220132241856,1.7321641252803843e-06,186.9025138636892,0.819468297776412,CM508-750-M01,CM508-1000-M01,26.012159684646313,-0.4251569540683154,0.7415360152967057,2.000111155597768,0.5603359509414716,False
8,3,1500.0,2000.0,23,184,70.81980616514444,0.04349199242268788,-0.002250620567804121,-0.000542753735598073,0.20977364313272884,0.8429368911394937,0.5000000027130106,187.63961233028888,0.832691910104472,CM508-750-M01,CM508-1000-M01,24.055569267665405,-1.5750596787713746,0.4656499480506806,6.369408278924279,0.8779034549435241,False
