Pass_Number,Mirror_ID,X_Position,Y_Position,Spot_Radius,Incident_Angle,Path_Length
1,1,0.035355,0.035355,0.0064368,67.5,0.038269
2,2,0.0,0.05,0.0064129,67.5,0.076537
3,3,-0.035355,0.035355,0.0063891,67.5,0.114806
4,4,-0.05,0.0,0.0063652,67.5,0.153075
5,5,-0.035355,-0.035355,0.0063413,67.5,0.191343
6,6,-0.0,-0.05,0.0063174,67.5,0.229612
7,7,0.035355,-0.035355,0.0062936,67.5,0.267881
8,0,0.05,0.0,0.0062697,67.5,0.306149
9,1,0.035355,0.035355,0.0062458,67.5,0.344418
10,2,0.0,0.05,0.006222,67.5,0.382686
11,3,-0.035355,0.035355,0.0061981,67.5,0.420955
12,4,-0.05,0.0,0.0061742,67.5,0.459224
13,5,-0.035355,-0.035355,0.0061504,67.5,0.497492
14,6,-0.0,-0.05,0.0061265,67.5,0.535761
15,7,0.035355,-0.035355,0.0061027,67.5,0.57403
16,0,0.05,0.0,0.0060788,67.5,0.612298
17,1,0.035355,0.035355,0.006055,67.5,0.650567
18,2,0.0,0.05,0.0060311,67.5,0.688836
19,3,-0.035355,0.035355,0.0060073,67.5,0.727104
20,4,-0.05,0.0,0.0059834,67.5,0.765373
21,5,-0.035355,-0.035355,0.0059596,67.5,0.803642
22,6,-0.0,-0.05,0.0059358,67.5,0.84191
23,7,0.035355,-0.035355,0.0059119,67.5,0.880179
24,0,0.05,0.0,0.0058881,67.5,0.918447
25,1,0.035355,0.035355,0.0058643,67.5,0.956716
26,2,0.0,0.05,0.0058405,67.5,0.994985
27,3,-0.035355,0.035355,0.0058167,67.5,1.033253
28,4,-0.05,0.0,0.0057928,67.5,1.071522
29,5,-0.035355,-0.035355,0.005769,67.5,1.109791
30,6,-0.0,-0.05,0.0057452,67.5,1.148059
31,7,0.035355,-0.035355,0.0057214,67.5,1.186328
32,0,0.05,0.0,0.0056976,67.5,1.224597
33,1,0.035355,0.035355,0.0056738,67.5,1.262865
34,2,0.0,0.05,0.00565,67.5,1.301134
35,3,-0.035355,0.035355,0.0056262,67.5,1.339403
36,4,-0.05,0.0,0.0056024,67.5,1.377671
37,5,-0.035355,-0.035355,0.0055786,67.5,1.41594
38,6,-0.0,-0.05,0.0055548,67.5,1.454208
39,7,0.035355,-0.035355,0.0055311,67.5,1.492477
40,0,0.05,0.0,0.0055073,67.5,1.530746
41,1,0.035355,0.035355,0.0054835,67.5,1.569014
42,2,0.0,0.05,0.0054597,67.5,1.607283
43,3,-0.035355,0.035355,0.005436,67.5,1.645552
44,4,-0.05,0.0,0.0054122,67.5,1.68382
45,5,-0.035355,-0.035355,0.0053885,67.5,1.722089
46,6,-0.0,-0.05,0.0053647,67.5,1.760358
47,7,0.035355,-0.035355,0.005341,67.5,1.798626
48,0,0.05,0.0,0.0053172,67.5,1.836895
49,1,0.035355,0.035355,0.0052935,67.5,1.875164
50,2,0.0,0.05,0.0052697,67.5,1.913432
51,3,-0.035355,0.035355,0.005246,67.5,1.951701
52,4,-0.05,0.0,0.0052223,67.5,1.989969
53,5,-0.035355,-0.035355,0.0051985,67.5,2.028238
54,6,-0.0,-0.05,0.0051748,67.5,2.066507
55,7,0.035355,-0.035355,0.0051511,67.5,2.104775
56,0,0.05,0.0,0.0051274,67.5,2.143044
57,1,0.035355,0.035355,0.0051037,67.5,2.181313
58,2,0.0,0.05,0.0050799,67.5,2.219581
59,3,-0.035355,0.035355,0.0050562,67.5,2.25785
60,4,-0.05,0.0,0.0050325,67.5,2.296119
61,5,-0.035355,-0.035355,0.0050089,67.5,2.334387
62,6,-0.0,-0.05,0.0049852,67.5,2.372656
63,7,0.035355,-0.035355,0.0049615,67.5,2.410925
64,0,0.05,0.0,0.0049378,67.5,2.449193
65,1,0.035355,0.035355,0.0049141,67.5,2.487462
66,2,0.0,0.05,0.0048905,67.5,2.52573
67,3,-0.035355,0.035355,0.0048668,67.5,2.563999
68,4,-0.05,0.0,0.0048431,67.5,2.602268
69,5,-0.035355,-0.035355,0.0048195,67.5,2.640536
70,6,-0.0,-0.05,0.0047958,67.5,2.678805
71,7,0.035355,-0.035355,0.0047722,67.5,2.717074
72,0,0.05,0.0,0.0047486,67.5,2.755342
73,1,0.035355,0.035355,0.0047249,67.5,2.793611
74,2,0.0,0.05,0.0047013,67.5,2.83188
75,3,-0.035355,0.035355,0.0046777,67.5,2.870148
76,4,-0.05,0.0,0.0046541,67.5,2.908417
77,5,-0.035355,-0.035355,0.0046304,67.5,2.946686
78,6,-0.0,-0.05,0.0046068,67.5,2.984954
79,7,0.035355,-0.035355,0.0045832,67.5,3.023223
80,0,0.05,0.0,0.0045597,67.5,3.061491
81,1,0.035355,0.035355,0.0045361,67.5,3.09976
82,2,0.0,0.05,0.0045125,67.5,3.138029
83,3,-0.035355,0.035355,0.0044889,67.5,3.176297
84,4,-0.05,0.0,0.0044653,67.5,3.214566
85,5,-0.035355,-0.035355,0.0044418,67.5,3.252835
86,6,-0.0,-0.05,0.0044182,67.5,3.291103
87,7,0.035355,-0.035355,0.0043947,67.5,3.329372
88,0,0.05,0.0,0.0043711,67.5,3.367641
89,1,0.035355,0.035355,0.0043476,67.5,3.405909
90,2,0.0,0.05,0.0043241,67.5,3.444178
91,3,-0.035355,0.035355,0.0043006,67.5,3.482447
92,4,-0.05,0.0,0.0042771,67.5,3.520715
93,5,-0.035355,-0.035355,0.0042536,67.5,3.558984
94,6,-0.0,-0.05,0.0042301,67.5,3.597252
95,7,0.035355,-0.035355,0.0042066,67.5,3.635521
96,0,0.05,0.0,0.0041831,67.5,3.67379
97,1,0.035355,0.035355,0.0041596,67.5,3.712058
98,2,0.0,0.05,0.0041362,67.5,3.750327
99,3,-0.035355,0.035355,0.0041127,67.5,3.788596
100,4,-0.05,0.0,0.0040893,67.5,3.826864
101,5,-0.035355,-0.035355,0.0040658,67.5,3.865133
102,6,-0.0,-0.05,0.0040424,67.5,3.903402
103,7,0.035355,-0.035355,0.004019,67.5,3.94167
104,0,0.05,0.0,0.0039955,67.5,3.979939
105,1,0.035355,0.035355,0.0039721,67.5,4.018208
106,2,0.0,0.05,0.0039488,67.5,4.056476
107,3,-0.035355,0.035355,0.0039254,67.5,4.094745
108,4,-0.05,0.0,0.003902,67.5,4.133013
109,5,-0.035355,-0.035355,0.0038786,67.5,4.171282
110,6,-0.0,-0.05,0.0038553,67.5,4.209551
111,7,0.035355,-0.035355,0.0038319,67.5,4.247819
112,0,0.05,0.0,0.0038086,67.5,4.286088
113,1,0.035355,0.035355,0.0037853,67.5,4.324357
114,2,0.0,0.05,0.003762,67.5,4.362625
115,3,-0.035355,0.035355,0.0037387,67.5,4.400894
116,4,-0.05,0.0,0.0037154,67.5,4.439163
117,5,-0.035355,-0.035355,0.0036921,67.5,4.477431
118,6,-0.0,-0.05,0.0036688,67.5,4.5157
119,7,0.035355,-0.035355,0.0036456,67.5,4.553969
120,0,0.05,0.0,0.0036223,67.5,4.592237
121,1,0.035355,0.035355,0.0035991,67.5,4.630506
122,2,0.0,0.05,0.0035759,67.5,4.668774
123,3,-0.035355,0.035355,0.0035527,67.5,4.707043
124,4,-0.05,0.0,0.0035295,67.5,4.745312
125,5,-0.035355,-0.035355,0.0035063,67.5,4.78358
126,6,-0.0,-0.05,0.0034831,67.5,4.821849
127,7,0.035355,-0.035355,0.00346,67.5,4.860118
128,0,0.05,0.0,0.0034368,67.5,4.898386
129,1,0.035355,0.035355,0.0034137,67.5,4.936655
130,2,0.0,0.05,0.0033906,67.5,4.974924
131,3,-0.035355,0.035355,0.0033675,67.5,5.013192
132,4,-0.05,0.0,0.0033444,67.5,5.051461
133,5,-0.035355,-0.035355,0.0033214,67.5,5.08973
134,6,-0.0,-0.05,0.0032983,67.5,5.127998
135,7,0.035355,-0.035355,0.0032753,67.5,5.166267
136,0,0.05,0.0,0.0032523,67.5,5.204535
137,1,0.035355,0.035355,0.0032293,67.5,5.242804
138,2,0.0,0.05,0.0032063,67.5,5.281073
139,3,-0.035355,0.035355,0.0031833,67.5,5.319341
140,4,-0.05,0.0,0.0031604,67.5,5.35761
141,5,-0.035355,-0.035355,0.0031375,67.5,5.395879
142,6,-0.0,-0.05,0.0031145,67.5,5.434147
143,7,0.035355,-0.035355,0.0030917,67.5,5.472416
144,0,0.05,0.0,0.0030688,67.5,5.510685
145,1,0.035355,0.035355,0.0030459,67.5,5.548953
146,2,0.0,0.05,0.0030231,67.5,5.587222
147,3,-0.035355,0.035355,0.0030003,67.5,5.625491
148,4,-0.05,0.0,0.0029775,67.5,5.663759
149,5,-0.035355,-0.035355,0.0029548,67.5,5.702028
150,6,-0.0,-0.05,0.002932,67.5,5.740296
151,7,0.035355,-0.035355,0.0029093,67.5,5.778565
152,0,0.05,0.0,0.0028866,67.5,5.816834
153,1,0.035355,0.035355,0.002864,67.5,5.855102
154,2,0.0,0.05,0.0028413,67.5,5.893371
155,3,-0.035355,0.035355,0.0028187,67.5,5.93164
156,4,-0.05,0.0,0.0027961,67.5,5.969908
157,5,-0.035355,-0.035355,0.0027735,67.5,6.008177
158,6,-0.0,-0.05,0.002751,67.5,6.046446
159,7,0.035355,-0.035355,0.0027285,67.5,6.084714
160,0,0.05,0.0,0.002706,67.5,6.122983
161,1,0.035355,0.035355,0.0026836,67.5,6.161252
162,2,0.0,0.05,0.0026611,67.5,6.19952
163,3,-0.035355,0.035355,0.0026387,67.5,6.237789
164,4,-0.05,0.0,0.0026164,67.5,6.276057
165,5,-0.035355,-0.035355,0.0025941,67.5,6.314326
166,6,-0.0,-0.05,0.0025718,67.5,6.352595
167,7,0.035355,-0.035355,0.0025495,67.5,6.390863
168,0,0.05,0.0,0.0025273,67.5,6.429132
169,1,0.035355,0.035355,0.0025051,67.5,6.467401
170,2,0.0,0.05,0.002483,67.5,6.505669
171,3,-0.035355,0.035355,0.0024608,67.5,6.543938
172,4,-0.05,0.0,0.0024388,67.5,6.582207
173,5,-0.035355,-0.035355,0.0024167,67.5,6.620475
174,6,-0.0,-0.05,0.0023948,67.5,6.658744
175,7,0.035355,-0.035355,0.0023728,67.5,6.697013
176,0,0.05,0.0,0.0023509,67.5,6.735281
177,1,0.035355,0.035355,0.002329,67.5,6.77355
178,2,0.0,0.05,0.0023072,67.5,6.811818
179,3,-0.035355,0.035355,0.0022855,67.5,6.850087
180,4,-0.05,0.0,0.0022638,67.5,6.888356
181,5,-0.035355,-0.035355,0.0022421,67.5,6.926624
182,6,-0.0,-0.05,0.0022205,67.5,6.964893
183,7,0.035355,-0.035355,0.0021989,67.5,7.003162
184,0,0.05,0.0,0.0021774,67.5,7.04143
185,1,0.035355,0.035355,0.002156,67.5,7.079699
186,2,0.0,0.05,0.0021346,67.5,7.117968
187,3,-0.035355,0.035355,0.0021132,67.5,7.156236
188,4,-0.05,0.0,0.002092,67.5,7.194505
189,5,-0.035355,-0.035355,0.0020708,67.5,7.232774
190,6,-0.0,-0.05,0.0020496,67.5,7.271042
191,7,0.035355,-0.035355,0.0020286,67.5,7.309311
192,0,0.05,0.0,0.0020076,67.5,7.347579
193,1,0.035355,0.035355,0.0019866,67.5,7.385848
194,2,0.0,0.05,0.0019658,67.5,7.424117
195,3,-0.035355,0.035355,0.001945,67.5,7.462385
196,4,-0.05,0.0,0.0019243,67.5,7.500654
197,5,-0.035355,-0.035355,0.0019037,67.5,7.538923
198,6,-0.0,-0.05,0.0018832,67.5,7.577191
199,7,0.035355,-0.035355,0.0018627,67.5,7.61546
200,0,0.05,0.0,0.0018424,67.5,7.653729
201,1,0.035355,0.035355,0.0018221,67.5,7.691997
202,2,0.0,0.05,0.0018019,67.5,7.730266
203,3,-0.035355,0.035355,0.0017819,67.5,7.768535
204,4,-0.05,0.0,0.0017619,67.5,7.806803
205,5,-0.035355,-0.035355,0.0017421,67.5,7.845072
206,6,-0.0,-0.05,0.0017223,67.5,7.88334
207,7,0.035355,-0.035355,0.0017027,67.5,7.921609
208,0,0.05,0.0,0.0016832,67.5,7.959878
209,1,0.035355,0.035355,0.0016638,67.5,7.998146
210,2,0.0,0.05,0.0016445,67.5,8.036415
211,3,-0.035355,0.035355,0.0016254,67.5,8.074684
212,4,-0.05,0.0,0.0016064,67.5,8.112952
213,5,-0.035355,-0.035355,0.0015876,67.5,8.151221
214,6,-0.0,-0.05,0.0015689,67.5,8.18949
215,7,0.035355,-0.035355,0.0015503,67.5,8.227758
216,0,0.05,0.0,0.0015319,67.5,8.266027
217,1,0.035355,0.035355,0.0015137,67.5,8.304296
218,2,0.0,0.05,0.0014956,67.5,8.342564
219,3,-0.035355,0.035355,0.0014777,67.5,8.380833
220,4,-0.05,0.0,0.00146,67.5,8.419101
221,5,-0.035355,-0.035355,0.0014425,67.5,8.45737
222,6,-0.0,-0.05,0.0014252,67.5,8.495639
223,7,0.035355,-0.035355,0.0014081,67.5,8.533907
224,0,0.05,0.0,0.0013911,67.5,8.572176
225,1,0.035355,0.035355,0.0013744,67.5,8.610445
226,2,0.0,0.05,0.001358,67.5,8.648713
227,3,-0.035355,0.035355,0.0013417,67.5,8.686982
228,4,-0.05,0.0,0.0013257,67.5,8.725251
229,5,-0.035355,-0.035355,0.00131,67.5,8.763519
230,6,-0.0,-0.05,0.0012945,67.5,8.801788
231,7,0.035355,-0.035355,0.0012793,67.5,8.840057
232,0,0.05,0.0,0.0012643,67.5,8.878325
233,1,0.035355,0.035355,0.0012497,67.5,8.916594
234,2,0.0,0.05,0.0012354,67.5,8.954863
235,3,-0.035355,0.035355,0.0012213,67.5,8.993131
236,4,-0.05,0.0,0.0012076,67.5,9.0314
237,5,-0.035355,-0.035355,0.0011942,67.5,9.069668
238,6,-0.0,-0.05,0.0011812,67.5,9.107937
239,7,0.035355,-0.035355,0.0011685,67.5,9.146206
240,0,0.05,0.0,0.0011562,67.5,9.184474
241,1,0.035355,0.035355,0.0011442,67.5,9.222743
242,2,0.0,0.05,0.0011327,67.5,9.261012
243,3,-0.035355,0.035355,0.0011215,67.5,9.29928
244,4,-0.05,0.0,0.0011108,67.5,9.337549
245,5,-0.035355,-0.035355,0.0011005,67.5,9.375818
246,6,-0.0,-0.05,0.0010906,67.5,9.414086
247,7,0.035355,-0.035355,0.0010812,67.5,9.452355
248,0,0.05,0.0,0.0010722,67.5,9.490624
249,1,0.035355,0.035355,0.0010637,67.5,9.528892
250,2,0.0,0.05,0.0010557,67.5,9.567161
251,3,-0.035355,0.035355,0.0010482,67.5,9.605429
252,4,-0.05,0.0,0.0010412,67.5,9.643698
253,5,-0.035355,-0.035355,0.0010348,67.5,9.681967
254,6,-0.0,-0.05,0.0010288,67.5,9.720235
255,7,0.035355,-0.035355,0.0010234,67.5,9.758504
256,0,0.05,0.0,0.0010185,67.5,9.796773
257,1,0.035355,0.035355,0.0010142,67.5,9.835041
258,2,0.0,0.05,0.0010105,67.5,9.87331
259,3,-0.035355,0.035355,0.0010073,67.5,9.911579
260,4,-0.05,0.0,0.0010047,67.5,9.949847
261,5,-0.035355,-0.035355,0.0010026,67.5,9.988116
262,6,-0.0,-0.05,0.0010012,67.5,10.026385
263,7,0.035355,-0.035355,0.0010003,67.5,10.064653
264,0,0.05,0.0,0.001,67.5,10.102922
265,0,0.05,0.0,0.0010003,67.5,10.14119
266,7,0.035355,-0.035355,0.0010012,67.5,10.179459
267,6,-0.0,-0.05,0.0010026,67.5,10.217728
